policy_id,policy_title,category,policy_owner,approved_by,version,status,classification,effective_date,next_review_date,target_pages,related_policies,applicable_departments
SEC-007,Endpoint Security Policy,Information Security,Head of IT & Security,Chief Information Security Officer,2.0,Approved,Internal,15 March 2026,15 March 2027,18–30,"SEC-001, SEC-006, SEC-008, SEC-010, HR-005, ENG-009","All employees, contractors with company devices"
SEC-008,Network Security Policy,Information Security,Head of IT & Security,Chief Information Security Officer,2.1,Approved,Confidential,01 April 2026,01 April 2027,20–32,"SEC-001, SEC-002, SEC-007, SEC-010, ENG-006, ENG-008","IT personnel, network administrators, all employees"
SEC-009,Email and Communications Security Policy,Information Security,Head of IT & Security,Chief Information Security Officer,1.3,Approved,Internal,15 May 2026,15 May 2027,16–26,"SEC-001, SEC-005, SEC-006, DATA-007, CORP-004",All employees and contractors
SEC-010,Remote Access Security Policy,Information Security,Head of IT & Security,Chief Information Security Officer,2.0,Approved,Internal,01 June 2026,01 June 2027,16–26,"SEC-001, SEC-002, SEC-003, SEC-004, SEC-007, SEC-008, HR-005, DATA-004","All employees working remotely, contractors with remote access"
SEC-011,Security Incident Response Policy,Information Security,Chief Information Security Officer,Chief Executive Officer,2.2,Approved,Confidential,01 July 2026,01 January 2027,25–40,"SEC-001, SEC-002, SEC-005, SEC-008, DATA-005, DATA-007, ENG-002, CORP-001, CORP-005, LEGAL-007","All employees, IT & Security teams, management"
SEC-012,Third-Party Security Policy,Information Security,Chief Information Security Officer,Chief Technology Officer,1.2,Approved,Internal,01 August 2026,01 August 2027,20–32,"SEC-001, SEC-002, SEC-005, FIN-003, FIN-004, DATA-001, DATA-004, DATA-008, LEGAL-006, LEGAL-007","Procurement, IT, Security, vendor managers"
DATA-001,Data Protection and Privacy Policy,Data & Privacy,Chief Legal Officer,Chief Executive Officer,2.0,Approved,Internal,01 January 2026,01 July 2026,25–40,"DATA-002, DATA-003, DATA-004, DATA-005, DATA-006, DATA-007, DATA-008, SEC-001, SEC-005, HR-006, LEGAL-006, LEGAL-007, AI-003","All employees, contractors, and third-party personnel"
DATA-002,Data Retention and Deletion Policy,Data & Privacy,Chief Legal Officer,Chief Information Security Officer,2.1,Approved,Internal,01 March 2026,01 March 2027,18–30,"DATA-001, DATA-003, DATA-006, DATA-008, SEC-005, HR-006, FIN-008, LEGAL-007","All employees, data owners, IT"
DATA-003,Data Subject Request Policy,Data & Privacy,Chief Legal Officer,Chief People Officer,1.2,Approved,Internal,15 April 2026,15 April 2027,15–25,"DATA-001, DATA-002, DATA-008, HR-006, LEGAL-007","HR, Legal, IT, Privacy Officer, customer-facing teams"
DATA-004,Cross-Border Data Transfer Policy,Data & Privacy,Chief Legal Officer,Chief Information Security Officer,2.0,Approved,Confidential,01 May 2026,01 November 2026,20–32,"DATA-001, DATA-005, DATA-008, SEC-001, SEC-005, SEC-012, HR-005, HR-006, LEGAL-007","All employees handling cross-border data, IT, Legal, Privacy"
DATA-005,Data Breach and Notification Policy,Data & Privacy,Chief Information Security Officer,Chief Executive Officer,2.1,Approved,Confidential,01 June 2026,01 December 2026,20–32,"DATA-001, DATA-004, DATA-007, DATA-008, SEC-001, SEC-011, CORP-005, LEGAL-007","All employees, IT & Security, Legal, management"
DATA-006,Records Management Policy,Data & Privacy,Chief Legal Officer,Chief Financial Officer,1.3,Approved,Internal,01 July 2026,01 July 2027,18–30,"DATA-001, DATA-002, FIN-008, HR-006, LEGAL-007, SEC-005","All employees, department heads, records custodians"
DATA-007,Data Loss Prevention Policy,Data & Privacy,Chief Information Security Officer,Chief Technology Officer,1.2,Approved,Confidential,01 August 2026,01 February 2027,20–32,"DATA-001, DATA-004, DATA-005, DATA-008, SEC-001, SEC-005, SEC-007, SEC-009, AI-002, AI-003","All employees, IT & Security"
DATA-008,Customer Data Handling Policy,Data & Privacy,Chief Information Security Officer,Chief Executive Officer,2.0,Approved,Confidential,15 May 2026,15 November 2026,20–32,"DATA-001, DATA-002, DATA-004, DATA-005, DATA-007, SEC-001, SEC-005, SEC-012, AI-002, AI-003, LEGAL-006",All employees handling customer data
FIN-001,Expense Reimbursement Policy,Finance & Procurement,Chief Financial Officer,Chief Executive Officer,2.2,Approved,Internal,01 April 2026,01 April 2027,12–20,"FIN-002, FIN-003, FIN-005, FIN-006, HR-001",All employees
FIN-002,Business Travel Policy,Finance & Procurement,Chief Financial Officer,Chief Operating Officer,2.0,Approved,Internal,01 May 2026,01 May 2027,16–24,"FIN-001, FIN-005, FIN-006, HR-005, SEC-007, SEC-010, DATA-004",All employees undertaking business travel
FIN-003,Procurement and Purchasing Policy,Finance & Procurement,Chief Financial Officer,Chief Executive Officer,2.1,Approved,Internal,01 March 2026,01 March 2027,18–28,"FIN-001, FIN-004, FIN-005, FIN-006, FIN-007, SEC-012, LEGAL-001, LEGAL-002","All employees initiating purchases, procurement team, finance"
FIN-004,Vendor Management Policy,Finance & Procurement,Chief Financial Officer,Chief Operating Officer,1.3,Approved,Internal,01 June 2026,01 June 2027,18–28,"FIN-003, FIN-005, FIN-007, SEC-012, LEGAL-001, LEGAL-002, LEGAL-006, DATA-004","Procurement, vendor managers, department heads"
FIN-005,Purchase Approval and Delegation Policy,Finance & Procurement,VP Finance,Chief Financial Officer,2.0,Approved,Internal,15 February 2026,15 February 2027,14–22,"FIN-001, FIN-003, FIN-006, FIN-007","All employees, managers, finance team"
FIN-006,Corporate Card Policy,Finance & Procurement,VP Finance,Chief Financial Officer,1.2,Approved,Internal,01 April 2026,01 April 2027,12–20,"FIN-001, FIN-002, FIN-003, FIN-005",Corporate card holders
FIN-007,Invoice Processing Policy,Finance & Procurement,VP Finance,Chief Financial Officer,1.3,Approved,Internal,01 July 2026,01 July 2027,14–22,"FIN-003, FIN-004, FIN-005, FIN-008","Finance team, accounts payable, department heads"
FIN-008,Financial Reporting and Records Policy,Finance & Procurement,Chief Financial Officer,Chief Executive Officer,2.0,Approved,Confidential,01 August 2026,01 August 2027,18–28,"FIN-001, FIN-003, FIN-007, DATA-002, DATA-006, LEGAL-007","Finance team, executive leadership, internal audit"
ENG-001,Secure Software Development Policy,Engineering & IT,Chief Technology Officer,Chief Executive Officer,2.0,Approved,Internal,01 February 2026,01 August 2026,25–40,"ENG-002, ENG-003, ENG-004, ENG-005, ENG-006, ENG-007, SEC-001, SEC-002, SEC-005, SEC-011, AI-004","Engineering, QA, DevOps, Product"
ENG-002,Production Access Policy,Engineering & IT,VP Engineering,Chief Technology Officer,2.1,Approved,Confidential,01 March 2026,01 September 2026,18–30,"ENG-001, ENG-003, ENG-007, SEC-001, SEC-002, SEC-003, SEC-004, SEC-011, DATA-008","Engineering, DevOps, SRE, IT, database administrators"
ENG-003,Change Management Policy,Engineering & IT,VP Engineering,Chief Technology Officer,2.0,Approved,Internal,01 April 2026,01 October 2026,20–32,"ENG-001, ENG-002, ENG-004, ENG-006, ENG-008, SEC-001, SEC-011, CORP-001","Engineering, DevOps, IT, SRE"
ENG-004,Code Review Policy,Engineering & IT,VP Engineering,Chief Technology Officer,1.3,Approved,Internal,15 May 2026,15 May 2027,14–22,"ENG-001, ENG-003, ENG-005, SEC-001, AI-004","All software engineers, QA, DevOps"
ENG-005,Open Source Software Policy,Engineering & IT,VP Engineering,Chief Legal Officer,1.2,Approved,Internal,01 June 2026,01 June 2027,16–26,"ENG-001, ENG-004, SEC-001, SEC-005, LEGAL-005, AI-004","Engineering, Product, Legal"
ENG-006,Cloud Security Policy,Engineering & IT,Chief Information Security Officer,Chief Technology Officer,2.0,Approved,Confidential,01 July 2026,01 January 2027,22–35,"ENG-001, ENG-002, ENG-003, ENG-007, ENG-008, SEC-001, SEC-002, SEC-005, SEC-008, DATA-004","Engineering, DevOps, IT & Security, cloud administrators"
ENG-007,Database Security Policy,Engineering & IT,Head of IT & Security,Chief Information Security Officer,1.3,Approved,Confidential,01 August 2026,01 February 2027,20–32,"ENG-001, ENG-002, ENG-006, ENG-008, SEC-001, SEC-002, SEC-005, DATA-001, DATA-008","Database administrators, engineering, IT & Security"
ENG-008,Backup and Disaster Recovery Policy,Engineering & IT,Chief Technology Officer,Chief Executive Officer,2.0,Approved,Confidential,01 February 2026,01 August 2026,25–40,"ENG-003, ENG-006, ENG-007, SEC-001, SEC-008, CORP-001, CORP-005, DATA-002","IT, Engineering, DevOps, SRE, management"
ENG-009,IT Asset and Configuration Management Policy,Engineering & IT,Head of IT & Security,Chief Technology Officer,1.2,Approved,Internal,15 June 2026,15 June 2027,18–30,"ENG-003, ENG-008, SEC-001, SEC-007, HR-012, FIN-003","IT, all employees with company assets"
LEGAL-001,Anti-Bribery and Anti-Corruption Policy,Legal & Compliance,Chief Legal Officer,Chief Executive Officer,2.0,Approved,Internal,01 January 2026,01 January 2027,20–32,"LEGAL-002, LEGAL-003, LEGAL-004, LEGAL-007, HR-002, FIN-003, FIN-004","All employees, contractors, and third-party personnel"
LEGAL-002,Conflict of Interest Policy,Legal & Compliance,Chief Legal Officer,Chief Executive Officer,1.3,Approved,Internal,15 March 2026,15 March 2027,16–26,"LEGAL-001, LEGAL-003, HR-002, FIN-003, FIN-004",All employees
LEGAL-003,Gifts and Entertainment Policy,Legal & Compliance,Chief Legal Officer,Chief Financial Officer,2.1,Approved,Internal,01 April 2026,01 April 2027,14–22,"LEGAL-001, LEGAL-002, HR-002, FIN-001",All employees
LEGAL-004,Whistleblower Policy,Legal & Compliance,Chief Legal Officer,Chief Executive Officer,2.0,Approved,Internal,01 May 2026,01 May 2027,18–28,"LEGAL-001, LEGAL-002, LEGAL-007, HR-002, HR-007, HR-008","All employees, contractors, and third-party personnel"
LEGAL-005,Intellectual Property Policy,Legal & Compliance,Chief Legal Officer,Chief Technology Officer,1.2,Approved,Internal,01 June 2026,01 June 2027,20–32,"LEGAL-006, ENG-001, ENG-004, ENG-005, AI-004, HR-001","All employees, particularly engineering and product teams"
LEGAL-006,Confidential Information and NDA Policy,Legal & Compliance,Chief Legal Officer,Chief Executive Officer,2.0,Approved,Confidential,01 July 2026,01 July 2027,18–30,"LEGAL-005, LEGAL-007, SEC-005, DATA-001, DATA-008, HR-001, HR-012","All employees, contractors, and third-party personnel"
LEGAL-007,Regulatory Compliance Policy,Legal & Compliance,Chief Legal Officer,Chief Executive Officer,2.0,Approved,Internal,01 August 2026,01 February 2027,22–35,"LEGAL-001, LEGAL-002, LEGAL-004, LEGAL-005, LEGAL-006, DATA-001, DATA-004, SEC-001, SEC-012, FIN-008, HR-007","All employees, compliance function, department heads"
CORP-001,Business Continuity Policy,Corporate & Administration,Chief Operating Officer,Chief Executive Officer,2.0,Approved,Confidential,01 January 2026,01 July 2026,25–40,"CORP-002, CORP-003, CORP-005, ENG-008, SEC-001, SEC-011, DATA-005","All employees, management, BCP coordinators"
CORP-002,Workplace Health and Safety Policy,Corporate & Administration,Chief Operating Officer,Chief Executive Officer,1.3,Approved,Internal,01 March 2026,01 March 2027,18–30,"CORP-001, CORP-003, CORP-005, HR-001, LEGAL-007","All employees, contractors, visitors"
CORP-003,Physical Security and Office Access Policy,Corporate & Administration,Chief Operating Officer,Chief Information Security Officer,1.2,Approved,Internal,15 April 2026,15 April 2027,16–26,"CORP-001, CORP-002, SEC-001, HR-012, ENG-009","All employees, contractors, visitors"
CORP-004,Corporate Communications and Media Policy,Corporate & Administration,Chief Operating Officer,Chief Executive Officer,1.3,Approved,Internal,01 May 2026,01 May 2027,14–22,"CORP-005, HR-002, SEC-006, SEC-009, LEGAL-006",All employees
CORP-005,Crisis Management Policy,Corporate & Administration,Chief Executive Officer,Chief Executive Officer,2.0,Approved,Confidential,01 June 2026,01 December 2026,22–35,"CORP-001, CORP-002, CORP-004, SEC-001, SEC-011, DATA-005, ENG-008, LEGAL-007","All employees, crisis management team, executive leadership"
AI-001,Responsible AI Policy,AI & Emerging Technology,Chief Technology Officer,Chief Executive Officer,1.2,Approved,Internal,01 March 2026,01 September 2026,22–35,"AI-002, AI-003, AI-004, SEC-001, SEC-005, DATA-001, DATA-008, ENG-001, LEGAL-005, LEGAL-007","All employees, Data & AI teams, Engineering, Product"
AI-002,Generative AI Usage Policy,AI & Emerging Technology,Chief Technology Officer,Chief Executive Officer,2.0,Approved,Internal,01 April 2026,01 October 2026,20–32,"AI-001, AI-003, AI-004, SEC-001, SEC-005, SEC-006, DATA-001, DATA-007, DATA-008, ENG-001, LEGAL-005, LEGAL-006",All employees
AI-003,AI Data Privacy Policy,AI & Emerging Technology,Chief Information Security Officer,Chief Legal Officer,1.2,Approved,Confidential,01 May 2026,01 November 2026,20–32,"AI-001, AI-002, AI-004, DATA-001, DATA-002, DATA-004, DATA-007, DATA-008, SEC-005, HR-006, LEGAL-007","Data & AI teams, Engineering, all employees using AI tools"
AI-004,AI-Assisted Software Development Policy,AI & Emerging Technology,VP Engineering,Chief Technology Officer,1.2,Approved,Internal,01 June 2026,01 December 2026,18–30,"AI-001, AI-002, AI-003, ENG-001, ENG-004, ENG-005, SEC-001, SEC-005, LEGAL-005","Engineering, Data & AI, QA, DevOps"
